id,year,downloads,title,author,lang,subject
64598,1929,388,Comment placer sa fortune,"Bainville, Jacques",fr,social
65013,1959,388,One for the Robot - Two for the Same,"Phillips, Rog",en,lit
65039,1927,388,Sir Isumbras at the Ford,"Broster, D. K. (Dorothy Kathleen)",en,lit
65121,1930,388,Hindu Magic: An Expose of the Tricks of the Yogis and Fakirs of India,"Carrington, Hereward",en,hist
65195,1898,388,Quicksands,"Croker, B. M. (Bithia Mary)",en,lit
65433,1908,388,Billy Whiskers at Home,"Montgomery, Frances Trego",en,lit
65476,1907,388,A Bounty Boy Being Some Adventures of a Christian Barbarian on an Unpremeditated Trip Round the World,"Bullen, Frank Thomas",en,lit
66564,1934,388,The Heart's Domain,"Duhamel, Georges",en,lit
66807,1921,388,On the Border with Andrew Jackson,"McIntyre, John T. (John Thomas)",en,lit
66820,1912,388,Ruysbroeck and the Mystics: with selections from Ruysbroeck,"Maeterlinck, Maurice",en,phil
67113,1905,388,Boy: A Sketch,"Corelli, Marie",en,lit
67906,1878,388,"A Hermit's Wild Friends; or, Eighteen Years in the Woods","Walton, Mason Augustus",en,sci
68101,1909,388,Yermah the Dorado: The story of a lost race,"Wait, Frona Eunice",en,lit
68165,1891,388,"Report of an autopsy on the bodies of Chang and Eng Bunker, commonly known as the Siamese twins","Allen, Harrison",en,sci
68832,1933,388,In self-defense,"Tuttle, W. C. (Wilbur C.)",en,lit
69223,1861,388,Queer little people,"Stowe, Harriet Beecher",en,lit
70188,1945,388,Advertising by motion pictures,"Dench, Ernest A. (Ernest Alfred)",en,social
70686,1891,388,"The Tallants of Barton, vol. 1 (of 3) : $b A tale of fortune and finance","Hatton, Joseph",en,lit
71050,1926,388,My dear Cornelia,"Sherman, Stuart Pratt",en,lit
71284,1910,388,The House of Egremont : $b a novel,"Seawell, Molly Elliot",en,lit
71844,1737,388,"The pleasant and surprising adventures of Robert Drury, during his fifteen years' captivity on the island of Madagascar","Drury, Robert",en,hist
71908,1905,388,From trail to railway through the Appalachians,"Brigham, Albert Perry",en,hist
73029,1941,388,Half loaves,"Banning, Margaret Culkin",en,lit
73155,1924,388,Ashes to ashes,"Ostrander, Isabel",en,lit
73944,1946,388,The green bay tree : $b a novel,"Bromfield, Louis",en,lit
74032,1890,388,The pirate's gold,"Stables, Gordon",en,lit
75887,1930,388,Jacques Louis David and the French Revolution,"Valentiner, Wilhelm Reinhold",en,arts
76142,1898,388,Children of the moor,"Fitinghoff, Laura",en,lit
76330,1917,388,"The peasants, [vol. 3] : $b Spring","Reymont, Władysław Stanisław",en,lit
7806,1906,388,A Boy's Ride,"Zollinger, Gulielma",en,lit
78829,1901,388,The great Siberian railway : $b what I saw on my journey,"Clark, Francis E. (Francis Edward)",en,hist
78836,1917,388,Awakening : $b A study in possibilities,"Diver, Maud",en,lit
78842,1933,388,A scheme there was : $b A story of the whittling sheriff of Mohave Wells,"Tuttle, W. C. (Wilbur C.)",en,lit
8849,1872,388,"Weymouth New Testament in Modern Speech, 2 Peter","Weymouth, Richard Francis",en,phil
8889,1867,388,Aquis Submersus,"Storm, Theodor",de,lit
9966,1915,388,The Spartan Twins,"Perkins, Lucy Fitch",en,lit
11767,1882,387,Contes à Jeannot,"Girardin, Jules",fr,lit
12213,1913,387,"Odd Charges Odd Craft, Part 13.","Jacobs, W. W. (William Wymark)",en,lit
12240,1913,387,The Lady and Sada San A Sequel to the Lady of the Decoration,"Little, Frances",en,lit
12488,1866,387,Nouveaux contes extraordinaires,"Révoil, Bénédict-Henry",fr,lit
12857,1928,387,Cambridge,"Home, Gordon",en,hist
13986,1850,387,"Speech of Mr. Cushing, of Massachusetts, on the Right of Petition, as Connected with Petitions for the Abolition of Slav","Cushing, Caleb",en,hist
15183,1884,387,The Tragedy of the Chain Pier Everyday Life Library No. 3,"Brame, Charlotte M.",en,lit
16480,1870,387,Beechenbrook A Rhyme of the War,"Preston, Margaret Junkin",en,lit
16803,1930,387,Lydia of the Pines,"Morrow, Honoré",en,lit
17014,1933,387,The War Chief of the Six Nations: A Chronicle of Joseph Brant,"Wood, Louis Aubrey",en,hist
17615,1906,387,In Search of the Okapi A Story of Adventure in Central Africa,"Glanville, Ernest",en,lit
18009,1887,387,"Sagittulae, Random Verses","Bowling, Edward Woodley",en,lit
18339,1871,387,"Het Vrije Rusland De Aarde en haar Volken, 1873","Dixon, William Hepworth",nl,hist
18480,1884,387,Boulogne-Sur-Mer St. Patrick's Native Town,"Fleming, William",en,phil
19173,1930,387,The Cow Puncher,"Stead, Robert J. C.",en,lit
19187,1894,387,Chevalier de Mornac: Chronique de la Nouvelle-France (1664),"Marmette, Joseph",fr,lit
19664,-381,387,"Els Deu Mil And Vida D'artaxerxes, Per Plutarc",Xenophon,ca,lit
19774,1858,387,Geschiedenis der Europeesche Volken,"Kohl, Johann Georg",nl,hist
19971,1932,387,Hansi,"Frohnmeyer, Ida",de,lit
20544,1881,387,The Little Skipper: A Son of a Sailor,"Fenn, George Manville",en,lit
21115,1909,387,Die Stufe Fragment einer Liebe,"Mann, Franziska",de,lit
21122,1907,387,More about Pixie,"Vaizey, George de Horne, Mrs.",en,lit
21388,1864,387,Exiled for the Faith: A Tale of the Huguenot Persecution,"Kingston, William Henry Giles",en,lit
22331,1910,387,"The Chocolate Soldier Or, Heroism - The Lost Chord of Christianity","Studd, C. T. (Charles Thomas)",en,phil
22825,1913,387,The Smoker's Year Book,"Herford, Oliver",en,lit
22895,1935,387,The Point of View,"Weinbaum, Stanley G. (Stanley Grauman)",en,lit
23357,1886,387,Miss Mehetabel's Son,"Aldrich, Thomas Bailey",en,lit
23514,1903,387,The Long Hillside A Christmas Hare-Hunt In Old Virginia 1908,"Page, Thomas Nelson",en,lit
23973,1922,387,Mrs. Christy's Bridge Party,"Bassett, Sara Ware",en,lit
24961,1919,387,Der Teufel und die Hölle in der darstellenden Kunst von den Anfängen bis zum Zeitalter Dante's und Giotto's,"Köppen, Alfred",de,arts
24986,1910,387,Tommy,"Hocking, Joseph",en,lit
25113,1903,387,Centenario do Revolução de 1820 Integração de Aveiro nesse glorioso movimento,"Gomes, Marques",pt,hist
25467,1904,387,A Big Temptation,"Meade, L. T.",en,lit
25961,1933,387,Bib Ballads,"Lardner, Ring",en,lit
26786,1853,387,Pompeijin viimeiset päivät,"Lytton, Edward Bulwer Lytton, Baron",fi,lit
27918,1864,387,The Mines and its Wonders,"Kingston, William Henry Giles",en,lit
28083,1912,387,Semper der Jüngling,"Schmidt, Otto Ernst",de,lit
28235,1926,387,In Orchard Glen,"MacGregor, Mary Esther Miller",en,lit
28460,1965,387,Bolden's Pets,"Wallace, F. L. (Floyd L.)",en,lit
29137,1902,387,El enemigo,"Picón, Jacinto Octavio",es,lit
29252,1917,387,War Taxation: Some Comments and Letters,"Kahn, Otto H.",en,social
2927,1875,387,The Darwinian Hypothesis,"Huxley, Thomas Henry",en,sci
29335,1869,387,A Gold Hunter's Experience,"Hambleton, Chalkley J.",en,hist
29483,1918,387,The Little Brown Hen Hears the Song of the Nightingale & The Golden Harvest,"Van Dresser, Jasmine Stone",en,lit
29570,1936,387,Rope,"Hall, Holworthy",en,lit
29620,1963,387,Sorry: Wrong Dimension,"Rocklynne, Ross",en,lit
29732,1868,387,The Old Arm-Chair,"Cook, Eliza",en,lit
29814,1913,387,De komedianten,"Couperus, Louis",nl,lit
3063,1867,387,Römische Geschichte - Buch 4,"Mommsen, Theodor",de,hist
30667,1927,387,The tale of old dog Spot,"Bailey, Arthur Scott",en,lit
30899,1887,387,The Man Who Did Not Die: The Story of Elijah,"Willard, James Hartwell",en,phil
31020,1952,387,A New Subspecies of Pocket Mouse from Kansas,"Hall, E. Raymond (Eugene Raymond)",en,sci
31287,1971,387,Turnover Point,"Coppel, Alfred",en,lit
31686,1972,387,Collector's Item,"Smith, Evelyn E.",en,lit
31688,1910,387,What Shall I Be? A Chat With Young People,"Cassilly, Francis Bernard",en,phil
31983,1854,387,"Les mystères du peuple, Tome IV Histoire d'une famille de prolétaires à travers les âges","Sue, Eugène",fr,lit
32031,1896,387,A Raw Recruit's War Experiences,"Nickerson, Ansel D.",en,hist
32784,1957,387,The Dark Goddess,"Shaver, Richard S.",en,lit
33302,1908,387,The Future of International Law,"Oppenheim, L. (Lassa)",en,social
33522,1865,387,Little Frankie and His Cousin,"Leslie, Madeline",en,lit
33753,1905,387,In Paths of Peril: A Boy's Adventures in Nova Scotia,"Oxley, J. Macdonald (James Macdonald)",en,lit
33808,1870,387,Dominique,"Fromentin, Eugène",fr,lit
33947,1909,387,"The Nerve of Foley, and Other Railroad Stories","Spearman, Frank H. (Frank Hamilton)",en,lit
33975,1906,387,Suppers: Novel Suggestions for Social Occasions,"Pierce, Paul",en,sci
3416,1888,387,William Ewart Gladstone,"Bryce, James Bryce, Viscount",en,hist
34255,1894,387,Comrades,"Phelps, Elizabeth Stuart",en,lit
34841,1782,387,"L'autre Tartuffe, ou La mère coupable","Beaumarchais, Pierre Augustin Caron de",fr,lit
34923,1896,387,"Breaking with the Past; Or, Catholic Principles Abandoned at the Reformation","Gasquet, Francis Aidan",en,phil
36386,1924,387,The Mythologies of Ancient Mexico and Peru,"Spence, Lewis",en,hist
36871,1907,387,Strandingshistorier: Skildringer fra jydske Vestkyst og Skagen,"Erichsen, L. Mylius (Ludvig Mylius)",da,lit
37774,1795,387,Considerations on Religion and Public Education With remarks on the speech of M. Dupont delivered in the National Conven,"More, Hannah",en,phil
38255,1903,387,"Autumn Glory; Or, The Toilers of the Field","Bazin, René",en,lit
38292,1907,387,"A Witch of the Hills, v. 2 [of 2]","Warden, Florence",en,lit
39400,1959,387,Christ's Journal,"Bartlett, Paul Alexander",en,lit
39427,1868,387,Annouchka: A Tale,"Turgenev, Ivan Sergeevich",en,lit
39453,1916,387,Kit Musgrave's Luck,"Bindloss, Harold",en,lit
39654,1870,387,"Histoire des Musulmans d'Espagne, t. 1/4 jusqu'à la conquête de l'Andalouisie par les Almoravides (711-1100)","Dozy, Reinhart Pieter Anne",fr,hist
39661,1882,387,Mortomley's Estate: A Novel. Vol. 3 (of 3),"Riddell, J. H., Mrs.",en,lit
40648,1906,387,On the Lightship,"Vielé, Herman Knickerbocker",en,lit
4080,1863,387,Gyges und sein Ring,"Hebbel, Friedrich",de,lit
4123,1683,387,Diary of Samuel Pepys - Volume 07: August/September 1660,"Pepys, Samuel",en,hist
41261,1955,387,Dan Carter and the Money Box,"Wirt, Mildred A. (Mildred Augustine)",en,lit
4140,1683,387,Diary of Samuel Pepys - Volume 21: March/April 1662-63,"Pepys, Samuel",en,hist
42289,1916,387,Abbotsford,"Crockett, W. S. (William Shillinglaw)",en,hist
42797,1914,387,The Worn Doorstep,"Sherwood, Margaret Pollock",en,lit
43310,1887,387,Histoire de la Monarchie de Juillet (Volume 4 / 7),"Thureau-Dangin, Paul",fr,hist
4384,1902,387,The Lost Word: A Christmas Legend of Long Ago,"Van Dyke, Henry",en,lit
45466,1905,387,Afternoon,"Verhaeren, Emile",en,lit
47188,1895,387,Le collier des jours: Souvenirs de ma vie,"Gautier, Judith",fr,lit
47654,1905,387,The Monster,"Saltus, Edgar",en,lit
47798,1924,387,Peking-Paris im Automobil Eine Wettfahrt durch Asien und Europa in sechzig Tagen.,"Barzini, Luigi",de,hist
4807,1864,387,The Rise of the Dutch Republic - Volume 07: 1561-62,"Motley, John Lothrop",en,hist
48442,1910,387,A Pioneer Mother,"Garland, Hamlin",en,lit
50493,1860,387,"The Black Eagle; or, Ticonderoga","James, G. P. R. (George Payne Rainsford)",en,lit
50505,1940,387,Dick Kent in the Far North,"Oblinger, M. M. (Milo Milton)",en,lit
50753,1960,387,Later Than You Think,"Leiber, Fritz",en,lit
50868,1968,387,The Highest Mountain,"Walton, Bryce",en,lit
50961,1929,387,The Slipper Point Mystery,"Seaman, Augusta Huiell",en,lit
51220,-378,387,Crito,Plato,la,phil
51848,1940,387,Dick Kent at Half-Way House,"Oblinger, M. M. (Milo Milton)",en,lit
5269,1888,387,Driven Back to Eden,"Roe, Edward Payson",en,lit
52725,1747,387,"Harck Olufs aus der Insul Amron im Stifte Ripen in Jütland, gebürtig, sonderbare Avanturen, so sich mit ihm insonderheit","Riese, Otto",de,social
53504,1898,387,A. von Menzel,"Knackfuss, H. (Hermann)",de,arts
53579,1907,387,The Wisdom of Fools,"Deland, Margaret Wade Campbell",en,lit
54017,1890,387,"Two Women, 1862; a Poem","Woolson, Constance Fenimore",en,lit
